,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,0.9989999999999999
20,0.2,0.9989999999999999
21,0.21,0.9989999999999999
22,0.22,0.9989999999999999
23,0.23,0.9989999999999999
24,0.24,0.9989999999999999
25,0.25,0.9989999999999999
26,0.26,0.9989999999999999
27,0.27,0.9989999999999999
28,0.28,0.9989999999999999
29,0.29,0.9989999999999999
30,0.3,0.9989999999999999
31,0.31,0.9989999999999999
32,0.32,0.9989999999999999
33,0.33,0.9989999999999999
34,0.34,0.9989999999999999
35,0.35000000000000003,0.9989999999999999
36,0.36,0.9989999999999999
37,0.37,0.9989999999999999
38,0.38,0.9989999999999999
39,0.39,0.9989999999999999
40,0.4,0.9989999999999999
41,0.41000000000000003,0.9989999999999999
42,0.42,0.9989999999999999
43,0.43,0.9989999999999999
44,0.44,0.9989999999999999
45,0.45,0.9989999999999999
46,0.46,0.9989999999999999
47,0.47000000000000003,1.9997051226201907
48,0.48,1.9997051226201907
49,0.49,1.9997051226201907
50,0.5,3.001162958349363
51,0.51,4.002823400834266
52,0.52,4.002823400834266
53,0.53,4.997811098765265
54,0.54,4.997811098765265
55,0.55,5.995445496133053
56,0.56,5.995445496133053
57,0.5700000000000001,5.995445496133053
58,0.58,6.993632892422741
59,0.59,6.993632892422741
60,0.6,6.993632892422741
61,0.61,7.996469989602652
62,0.62,7.996469989602652
63,0.63,8.997981121446852
64,0.64,8.997981121446852
65,0.65,10.004152608697645
66,0.66,10.004152608697645
67,0.67,10.004152608697645
68,0.68,10.990159692286051
69,0.6900000000000001,12.001124195202623
70,0.7000000000000001,13.999202723426244
71,0.71,61.007747867799274
72,0.72,62.99156830465424
73,0.73,62.99156830465424
74,0.74,62.99156830465424
75,0.75,62.99156830465424
76,0.76,64.0075398344503
77,0.77,64.0075398344503
78,0.78,64.0075398344503
79,0.79,64.0075398344503
80,0.8,64.0075398344503
81,0.81,64.0075398344503
82,0.8200000000000001,64.0075398344503
83,0.8300000000000001,64.0075398344503
84,0.84,64.0075398344503
85,0.85,64.0075398344503
86,0.86,64.0075398344503
87,0.87,64.0075398344503
88,0.88,64.0075398344503
89,0.89,64.0075398344503
90,0.9,64.0075398344503
91,0.91,64.0075398344503
92,0.92,64.0075398344503
93,0.93,64.0075398344503
94,0.9400000000000001,64.0075398344503
95,0.9500000000000001,1850.1130192038806
96,0.96,2366.108945284905
97,0.97,2798.9570529004727
98,0.98,3206.714561828855
99,0.99,3572.433256311062
100,1.0,4052.1475102051904
