,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,0.9989999999999999
20,0.2,0.9989999999999999
21,0.21,0.9989999999999999
22,0.22,0.9989999999999999
23,0.23,0.9989999999999999
24,0.24,0.9989999999999999
25,0.25,0.9989999999999999
26,0.26,0.9989999999999999
27,0.27,0.9989999999999999
28,0.28,0.9989999999999999
29,0.29,0.9989999999999999
30,0.3,0.9989999999999999
31,0.31,0.9989999999999999
32,0.32,0.9989999999999999
33,0.33,0.9989999999999999
34,0.34,0.9989999999999999
35,0.35000000000000003,0.9989999999999999
36,0.36,0.9989999999999999
37,0.37,0.9989999999999999
38,0.38,0.9989999999999999
39,0.39,0.9989999999999999
40,0.4,0.9989999999999999
41,0.41000000000000003,0.9989999999999999
42,0.42,0.9989999999999999
43,0.43,0.9989999999999999
44,0.44,0.9989999999999999
45,0.45,0.9989999999999999
46,0.46,0.9989999999999999
47,0.47000000000000003,0.9989999999999999
48,0.48,0.9989999999999999
49,0.49,0.9989999999999999
50,0.5,0.9989999999999999
51,0.51,0.9989999999999999
52,0.52,0.9989999999999999
53,0.53,0.9989999999999999
54,0.54,0.9989999999999999
55,0.55,0.9989999999999999
56,0.56,0.9989999999999999
57,0.5700000000000001,0.9989999999999999
58,0.58,0.9989999999999999
59,0.59,0.9989999999999999
60,0.6,0.9989999999999999
61,0.61,0.9989999999999999
62,0.62,0.9989999999999999
63,0.63,0.9989999999999999
64,0.64,0.9989999999999999
65,0.65,0.9989999999999999
66,0.66,0.9989999999999999
67,0.67,0.9989999999999999
68,0.68,1.9997051226201907
69,0.6900000000000001,1.9997051226201907
70,0.7000000000000001,1.9997051226201907
71,0.71,61.007747867799274
72,0.72,64.0075398344503
73,0.73,65.03989765493789
74,0.74,65.95686028918864
75,0.75,67.0206580966104
76,0.76,67.0206580966104
77,0.77,67.96554640998895
78,0.78,67.96554640998895
79,0.79,69.0617416948185
80,0.8,69.0617416948185
81,0.81,69.0617416948185
82,0.8200000000000001,70.03540615115575
83,0.8300000000000001,70.03540615115575
84,0.84,70.03540615115575
85,0.85,71.02279778045839
86,0.86,71.02279778045839
87,0.87,71.02279778045839
88,0.88,72.02411011477574
89,0.89,72.02411011477574
90,0.9,73.03953941466173
91,0.91,73.03953941466173
92,0.92,74.06928470764261
93,0.93,74.96347080859108
94,0.9400000000000001,78.02278912874269
95,0.9500000000000001,1850.1130192038806
96,0.96,2366.108945284905
97,0.97,2798.9570529004727
98,0.98,3206.714561828855
99,0.99,3572.433256311062
100,1.0,4052.1475102051904
