,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,0.9989999999999999
20,0.2,0.9989999999999999
21,0.21,0.9989999999999999
22,0.22,0.9989999999999999
23,0.23,0.9989999999999999
24,0.24,0.9989999999999999
25,0.25,0.9989999999999999
26,0.26,0.9989999999999999
27,0.27,0.9989999999999999
28,0.28,0.9989999999999999
29,0.29,0.9989999999999999
30,0.3,0.9989999999999999
31,0.31,0.9989999999999999
32,0.32,0.9989999999999999
33,0.33,0.9989999999999999
34,0.34,0.9989999999999999
35,0.35000000000000003,0.9989999999999999
36,0.36,0.9989999999999999
37,0.37,1.9997051226201907
38,0.38,3.001162958349363
39,0.39,3.001162958349363
40,0.4,4.002823400834266
41,0.41000000000000003,4.997811098765265
42,0.42,5.995445496133053
43,0.43,6.993632892422741
44,0.44,7.996469989602652
45,0.45,10.004152608697645
46,0.46,10.990159692286051
47,0.47000000000000003,16.996381089962515
48,0.48,28.022299698332315
49,0.49,34.021772103706674
50,0.5,37.003063394656856
51,0.51,38.97813005423709
52,0.52,40.976582199748535
53,0.53,41.97191674322714
54,0.54,42.99142828733044
55,0.55,44.03570409928742
56,0.56,45.0152251403878
57,0.5700000000000001,45.0152251403878
58,0.58,46.01653444375361
59,0.59,47.04011666295805
60,0.6,47.04011666295805
61,0.61,47.990390374500834
62,0.62,48.95986089487216
63,0.63,48.95986089487216
64,0.64,50.0489138553459
65,0.65,50.95795140178327
66,0.66,50.95795140178327
67,0.67,51.98737065170029
68,0.68,51.98737065170029
69,0.6900000000000001,53.03758555691637
70,0.7000000000000001,54.000906295163944
71,0.71,54.000906295163944
72,0.72,54.98172381112103
73,0.73,54.98172381112103
74,0.74,55.98035589845489
75,0.75,55.98035589845489
76,0.76,56.99712612291374
77,0.77,58.03236392716473
78,0.78,58.03236392716473
79,0.79,58.96834998281604
80,0.8,58.96834998281604
81,0.81,60.03939109153555
82,0.8200000000000001,61.007747867799274
83,0.8300000000000001,61.007747867799274
84,0.84,61.99172297111608
85,0.85,61.99172297111608
86,0.86,62.99156830465424
87,0.87,62.99156830465424
88,0.88,64.0075398344503
89,0.89,64.0075398344503
90,0.9,64.0075398344503
91,0.91,64.0075398344503
92,0.92,895.1593666036462
93,0.93,1711.2886833551208
94,0.9400000000000001,2145.230011327347
95,0.9500000000000001,2502.391386713125
96,0.96,2810.1753064008226
97,0.97,3124.4144928709243
98,0.98,3411.823614588018
99,0.99,3666.5345684170143
100,1.0,4052.1475102051904
