,cdf,batch_size
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,0.9989999999999999
20,0.2,0.9989999999999999
21,0.21,0.9989999999999999
22,0.22,0.9989999999999999
23,0.23,0.9989999999999999
24,0.24,0.9989999999999999
25,0.25,0.9989999999999999
26,0.26,0.9989999999999999
27,0.27,0.9989999999999999
28,0.28,0.9989999999999999
29,0.29,0.9989999999999999
30,0.3,0.9989999999999999
31,0.31,0.9989999999999999
32,0.32,0.9989999999999999
33,0.33,0.9989999999999999
34,0.34,0.9989999999999999
35,0.35000000000000003,0.9989999999999999
36,0.36,0.9989999999999999
37,0.37,0.9989999999999999
38,0.38,0.9989999999999999
39,0.39,0.9989999999999999
40,0.4,0.9989999999999999
41,0.41000000000000003,0.9989999999999999
42,0.42,0.9989999999999999
43,0.43,0.9989999999999999
44,0.44,0.9989999999999999
45,0.45,0.9989999999999999
46,0.46,0.9989999999999999
47,0.47000000000000003,0.9989999999999999
48,0.48,0.9989999999999999
49,0.49,0.9989999999999999
50,0.5,0.9989999999999999
51,0.51,4.002823400834266
52,0.52,4.997811098765265
53,0.53,5.995445496133053
54,0.54,5.995445496133053
55,0.55,6.993632892422741
56,0.56,6.993632892422741
57,0.5700000000000001,6.993632892422741
58,0.58,7.996469989602652
59,0.59,7.996469989602652
60,0.6,7.996469989602652
61,0.61,7.996469989602652
62,0.62,8.997981121446852
63,0.63,8.997981121446852
64,0.64,8.997981121446852
65,0.65,8.997981121446852
66,0.66,8.997981121446852
67,0.67,10.004152608697645
68,0.68,10.004152608697645
69,0.6900000000000001,10.004152608697645
70,0.7000000000000001,10.004152608697645
71,0.71,10.004152608697645
72,0.72,10.004152608697645
73,0.73,10.990159692286051
74,0.74,10.990159692286051
75,0.75,10.990159692286051
76,0.76,10.990159692286051
77,0.77,10.990159692286051
78,0.78,10.990159692286051
79,0.79,12.001124195202623
80,0.8,12.001124195202623
81,0.81,12.001124195202623
82,0.8200000000000001,12.001124195202623
83,0.8300000000000001,12.001124195202623
84,0.84,12.001124195202623
85,0.85,13.000662984908592
86,0.86,13.000662984908592
87,0.87,13.000662984908592
88,0.88,13.000662984908592
89,0.89,13.000662984908592
90,0.9,13.999202723426244
91,0.91,13.999202723426244
92,0.92,13.999202723426244
93,0.93,13.999202723426244
94,0.9400000000000001,15.014259802243886
95,0.9500000000000001,15.014259802243886
96,0.96,15.014259802243886
97,0.97,16.00658858967672
98,0.98,16.996381089962515
99,0.99,18.0113202620591
100,1.0,21.99907771279114
