,cdf,batch_num_decode_tokens
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,0.9989999999999999
20,0.2,0.9989999999999999
21,0.21,0.9989999999999999
22,0.22,0.9989999999999999
23,0.23,0.9989999999999999
24,0.24,0.9989999999999999
25,0.25,0.9989999999999999
26,0.26,0.9989999999999999
27,0.27,0.9989999999999999
28,0.28,0.9989999999999999
29,0.29,0.9989999999999999
30,0.3,0.9989999999999999
31,0.31,0.9989999999999999
32,0.32,0.9989999999999999
33,0.33,0.9989999999999999
34,0.34,0.9989999999999999
35,0.35000000000000003,0.9989999999999999
36,0.36,0.9989999999999999
37,0.37,0.9989999999999999
38,0.38,0.9989999999999999
39,0.39,0.9989999999999999
40,0.4,0.9989999999999999
41,0.41000000000000003,0.9989999999999999
42,0.42,0.9989999999999999
43,0.43,0.9989999999999999
44,0.44,0.9989999999999999
45,0.45,0.9989999999999999
46,0.46,0.9989999999999999
47,0.47000000000000003,0.9989999999999999
48,0.48,0.9989999999999999
49,0.49,0.9989999999999999
50,0.5,0.9989999999999999
51,0.51,1.9997051226201907
52,0.52,12.001124195202623
53,0.53,13.999202723426244
54,0.54,16.00658858967672
55,0.55,16.996381089962515
56,0.56,16.996381089962515
57,0.5700000000000001,18.0113202620591
58,0.58,19.01067154327947
59,0.59,19.01067154327947
60,0.6,19.985369849237582
61,0.61,19.985369849237582
62,0.62,21.010042023055906
63,0.63,21.010042023055906
64,0.64,21.010042023055906
65,0.65,21.99907771279114
66,0.66,21.99907771279114
67,0.67,22.988648370853415
68,0.68,22.988648370853415
69,0.6900000000000001,22.988648370853415
70,0.7000000000000001,24.022732262610404
71,0.71,24.022732262610404
72,0.72,25.003118897839112
73,0.73,25.003118897839112
74,0.74,25.003118897839112
75,0.75,26.023515884264672
76,0.76,26.023515884264672
77,0.77,26.023515884264672
78,0.78,26.977430211401757
79,0.79,26.977430211401757
80,0.8,28.022299698332315
81,0.81,28.022299698332315
82,0.8200000000000001,28.022299698332315
83,0.8300000000000001,28.991440241586453
84,0.84,28.991440241586453
85,0.85,29.99409814075676
86,0.86,29.99409814075676
87,0.87,30.969431716511867
88,0.88,30.969431716511867
89,0.89,31.976480717732706
90,0.9,31.976480717732706
91,0.91,33.01627645128441
92,0.92,34.021772103706674
93,0.93,34.98784393437458
94,0.9400000000000001,34.98784393437458
95,0.9500000000000001,35.981348045147264
96,0.96,37.003063394656856
97,0.97,38.97813005423709
98,0.98,40.004851316295785
99,0.99,41.97191674322714
100,1.0,56.99712612291374
